#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.858819E-01   0.120956E+07   0.119531E+07   0.354753E+02   0.354751E+02   0.533613E+05   0.120247E+07   0.120733E+07   0.120247E+07  -0.943875E-01   0.116572E+07   0.116542E+07   0.119023E+01
   0.886331E-01   0.115784E+07   0.114288E+07   0.318762E+02   0.318760E+02   0.486275E+05   0.115083E+07   0.115550E+07   0.115083E+07  -0.903344E-01   0.111567E+07   0.111535E+07   0.125857E+01
   0.913844E-01   0.110892E+07   0.109336E+07   0.287130E+02   0.287128E+02   0.443888E+05   0.110201E+07   0.110648E+07   0.110201E+07  -0.865018E-01   0.106835E+07   0.106801E+07   0.130342E+01
   0.941356E-01   0.106320E+07   0.104722E+07   0.259388E+02   0.259386E+02   0.406105E+05   0.105640E+07   0.106070E+07   0.105640E+07  -0.829218E-01   0.102414E+07   0.102379E+07   0.131986E+01
   0.968868E-01   0.102099E+07   0.100483E+07   0.235109E+02   0.235108E+02   0.372539E+05   0.101432E+07   0.101846E+07   0.101432E+07  -0.796191E-01   0.983357E+06   0.982995E+06   0.130615E+01
   0.996381E-01   0.982501E+06   0.966421E+06   0.213903E+02   0.213901E+02   0.342856E+05   0.976000E+06   0.979983E+06   0.976000E+06  -0.766109E-01   0.946208E+06   0.945848E+06   0.126330E+01
   0.102389E+00   0.947834E+06   0.932093E+06   0.195405E+02   0.195403E+02   0.316634E+05   0.941521E+06   0.945370E+06   0.941521E+06  -0.739044E-01   0.912785E+06   0.912435E+06   0.119459E+01
   0.105141E+00   0.916928E+06   0.901769E+06   0.179270E+02   0.179268E+02   0.293532E+05   0.910826E+06   0.914554E+06   0.910826E+06  -0.714951E-01   0.883028E+06   0.882697E+06   0.110500E+01
   0.107892E+00   0.889563E+06   0.875191E+06   0.165171E+02   0.165170E+02   0.273157E+05   0.883690E+06   0.887312E+06   0.883690E+06  -0.693650E-01   0.856721E+06   0.856413E+06   0.100057E+01
   0.110643E+00   0.865369E+06   0.851941E+06   0.152803E+02   0.152801E+02   0.255117E+05   0.859738E+06   0.863267E+06   0.859738E+06  -0.674849E-01   0.833500E+06   0.833219E+06   0.887836E+00
   0.113394E+00   0.843866E+06   0.831480E+06   0.141881E+02   0.141880E+02   0.239044E+05   0.838481E+06   0.841927E+06   0.838481E+06  -0.658164E-01   0.812890E+06   0.812640E+06   0.773258E+00
   0.116145E+00   0.824506E+06   0.813197E+06   0.132157E+02   0.132156E+02   0.224606E+05   0.819364E+06   0.822735E+06   0.819364E+06  -0.643158E-01   0.794355E+06   0.794135E+06   0.662772E+00
   0.118897E+00   0.806713E+06   0.796459E+06   0.123409E+02   0.123409E+02   0.211502E+05   0.801805E+06   0.805108E+06   0.801805E+06  -0.629375E-01   0.777330E+06   0.777139E+06   0.561424E+00
   0.121648E+00   0.789923E+06   0.780648E+06   0.115454E+02   0.115454E+02   0.199459E+05   0.785234E+06   0.788471E+06   0.785234E+06  -0.616367E-01   0.761262E+06   0.761098E+06   0.473122E+00
   0.124399E+00   0.773612E+06   0.765194E+06   0.108139E+02   0.108138E+02   0.188258E+05   0.769120E+06   0.772294E+06   0.769120E+06  -0.603719E-01   0.745639E+06   0.745497E+06   0.400497E+00
   0.127150E+00   0.757329E+06   0.749616E+06   0.101342E+02   0.101341E+02   0.177738E+05   0.753011E+06   0.756122E+06   0.753011E+06  -0.591075E-01   0.730021E+06   0.729896E+06   0.344880E+00
   0.129902E+00   0.740734E+06   0.733552E+06   0.949743E+01   0.949736E+01   0.167760E+05   0.736565E+06   0.739610E+06   0.736565E+06  -0.578165E-01   0.714077E+06   0.713964E+06   0.306354E+00
   0.132653E+00   0.723620E+06   0.716791E+06   0.889744E+01   0.889738E+01   0.158237E+05   0.719574E+06   0.722551E+06   0.719574E+06  -0.564828E-01   0.697605E+06   0.697498E+06   0.283892E+00
   0.135404E+00   0.705922E+06   0.699274E+06   0.833065E+01   0.833059E+01   0.149135E+05   0.701975E+06   0.704881E+06   0.701975E+06  -0.551013E-01   0.680545E+06   0.680439E+06   0.275561E+00
   0.138155E+00   0.687705E+06   0.681083E+06   0.779532E+01   0.779526E+01   0.140443E+05   0.683835E+06   0.686668E+06   0.683835E+06  -0.536774E-01   0.662961E+06   0.662851E+06   0.278762E+00
   0.140906E+00   0.669125E+06   0.662404E+06   0.729086E+01   0.729081E+01   0.132160E+05   0.665314E+06   0.668073E+06   0.665314E+06  -0.522237E-01   0.645008E+06   0.644891E+06   0.290485E+00
   0.143658E+00   0.650392E+06   0.643478E+06   0.681719E+01   0.681714E+01   0.124304E+05   0.646627E+06   0.649310E+06   0.646627E+06  -0.507568E-01   0.626894E+06   0.626768E+06   0.307576E+00
   0.146409E+00   0.631732E+06   0.624567E+06   0.637429E+01   0.637424E+01   0.116890E+05   0.628004E+06   0.630611E+06   0.628004E+06  -0.492950E-01   0.608842E+06   0.608705E+06   0.326968E+00
   0.149160E+00   0.613368E+06   0.605931E+06   0.596197E+01   0.596193E+01   0.109936E+05   0.609671E+06   0.612204E+06   0.609671E+06  -0.478560E-01   0.591072E+06   0.590925E+06   0.345883E+00
   0.151911E+00   0.595513E+06   0.587819E+06   0.557989E+01   0.557985E+01   0.103436E+05   0.591849E+06   0.594309E+06   0.591849E+06  -0.464570E-01   0.573797E+06   0.573640E+06   0.361979E+00
